"city_mpg","highway_mpg","horsepower"
"27","35","108"
"25","34","108"
"27","35","108"
"25","34","108"
"16","23","350"
"18","26","300"
"18","26","300"
"18","28","310"
"17","27","372"
"17","27","372"
"12","18","317"
"12","18","317"
"12","18","317"
"12","18","317"
"12","18","317"
"12","18","317"
"16","23","350"
"16","23","350"
"25","30","122"
"25","30","122"
"25","30","122"
"25","30","122"
"20","27","211"
"18","23","270"
"20","27","211"
"18","23","270"
"18","27","271"
"18","27","271"
"17","25","271"
"18","23","270"
"18","23","270"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"25","36","140"
"21","29","197"
"16","22","333"
"16","22","280"
"17","25","225"
"12","20","550"
"27","35","108"
"27","35","108"
"25","34","108"
"27","35","108"
"25","34","108"
"16","24","380"
"16","23","357"
"16","24","380"
"16","23","357"
"12","20","560"
"12","20","560"
"30","40","138"
"30","40","138"
"30","40","138"
"30","40","138"
"16","24","380"
"16","23","357"
"16","24","380"
"16","23","357"
"27","36","110"
"28","34","110"
"28","34","110"
"28","34","110"
"27","36","110"
"28","34","110"
"27","36","110"
"28","34","110"
"27","36","110"
"27","36","110"
"30","40","138"
"30","40","138"
"27","36","110"
"28","34","110"
"28","34","110"
"27","36","110"
"20","28","260"
"19","27","283"
"17","26","263"
"18","26","234"
"16","22","333"
"16","22","272"
"17","25","225"
"14","19","280"
"17","25","225"
"13","18","350"
"22","28","179"
"21","27","179"
"19","27","269"
"19","26","269"
"22","28","179"
"21","27","179"
"19","27","269"
"19","26","269"
"22","28","179"
"21","27","179"
"19","27","269"
"19","26","269"
"24","29","122"
"24","29","122"
"21","30","227"
"17","28","323"
"19","30","323"
"17","28","323"
"19","30","323"
"16","24","426"
"15","24","426"
"16","24","426"
"15","24","426"
"24","31","188"
"24","31","188"
"17","28","312"
"19","30","312"
"17","28","312"
"19","30","312"
"16","24","426"
"15","24","426"
"16","24","426"
"16","25","426"
"18","26","228"
"18","26","228"
"17","25","268"
"18","27","230"
"17","26","300"
"17","26","300"
"18","28","230"
"17","28","323"
"19","30","323"
"17","28","323"
"19","30","323"
"16","24","426"
"15","24","426"
"16","24","426"
"15","24","426"
"17","28","323"
"18","29","323"
"13","19","228"
"18","26","228"
"29","40","145"
"29","40","148"
"29","40","148"
"29","40","145"
"29","40","148"
"29","40","148"
"29","40","148"
"29","40","145"
"29","40","148"
"29","40","145"
"26","34","138"
"26","34","132"
"25","34","138"
"26","34","132"
"26","34","138"
"22","32","175"
"23","33","175"
"23","33","175"
"20","28","240"
"23","33","175"
"20","28","240"
"13","19","240"
"18","27","263"
"17","25","263"
"21","31","200"
"21","31","200"
"22","31","280"
"22","29","175"
"23","33","175"
"22","29","175"
"23","33","175"
"14","21","240"
"13","19","240"
"18","27","263"
"17","24","263"
"14","21","240"
"23","33","175"
"22","31","175"
"23","34","175"
"22","29","175"
"19","27","240"
"22","31","175"
"13","20","240"
"13","18","240"
"18","27","263"
"17","24","263"
"22","31","175"
"25","34","156"
"26","36","156"
"26","36","156"
"23","32","173"
"17","25","225"
"25","34","156"
"26","36","156"
"22","32","173"
"23","32","173"
"24","33","156"
"25","34","156"
"22","32","173"
"23","31","173"
"11","20","420"
"12","19","525"
"25","34","156"
"25","34","156"
"25","34","156"
"25","34","156"
"27","36","156"
"22","32","173"
"23","31","173"
"11","20","430"
"12","19","525"
"23","30","138"
"23","31","138"
"23","31","138"
"23","30","138"
"23","31","138"
"23","30","138"
"23","30","138"
"23","31","138"
"23","31","138"
"23","30","138"
"23","31","138"
"23","30","138"
"23","31","138"
"23","30","138"
"16","24","385"
"16","24","385"
"17","26","385"
"19","29","333"
"17","26","429"
"25","34","156"
"25","34","156"
"22","32","173"
"23","31","173"
"24","35","200"
"24","34","200"
"24","34","200"
"22","34","274"
"22","34","274"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"21","29","197"
"36","40","166"
"22","32","175"
"22","32","175"
"22","32","175"
"20","28","194"
"22","32","175"
"20","28","194"
"28","34","110"
"27","36","110"
"27","36","110"
"18","27","290"
"17","25","385"
"17","25","368"
"18","27","290"
"21","30","210"
"17","26","306"
"17","27","306"
"21","30","210"
"20","30","210"
"17","26","306"
"17","27","306"
"20","30","210"
"20","30","210"
"21","30","210"
"20","30","210"
"17","27","306"
"17","26","306"
"21","30","210"
"17","26","306"
"17","27","306"
"21","30","210"
"17","27","306"
"17","27","306"
"21","30","210"
"20","30","210"
"21","30","210"
"17","26","306"
"17","27","306"
"17","26","306"
"20","30","210"
"17","26","306"
"21","30","210"
"12","19","451"
"21","31","200"
"21","31","200"
"19","29","305"
"19","31","305"
"19","29","305"
"19","31","305"
"17","26","412"
"18","25","412"
"17","26","412"
"18","25","412"
"17","26","444"
"18","25","228"
"19","30","305"
"19","30","305"
"19","30","305"
"19","30","305"
"19","30","412"
"18","25","412"
"19","30","412"
"18","25","412"
"19","29","305"
"19","30","305"
"19","29","305"
"19","30","305"
"17","26","412"
"18","25","412"
"17","26","412"
"18","25","412"
"19","29","305"
"19","31","305"
"19","29","305"
"19","31","305"
"17","26","412"
"18","25","412"
"17","26","412"
"18","25","412"
"18","26","228"
"13","19","451"
"18","25","228"
"18","26","228"
"17","25","268"
"13","19","228"
"27","36","110"
"27","36","110"
"28","34","110"
"27","36","110"
"28","34","110"
"27","36","110"
"21","31","200"
"28","34","110"
"28","34","110"
"27","36","110"
"28","34","110"
"27","36","110"
"26","31","122"
"24","30","142"
"24","30","142"
"24","30","142"
"24","30","142"
"17","28","312"
"19","30","312"
"18","29","312"
"17","28","312"
"19","30","312"
"17","28","312"
"19","30","312"
"16","24","426"
"16","25","426"
"16","24","426"
"16","25","426"
"18","26","210"
"16","24","210"
"18","26","210"
"16","24","210"
"16","24","315"
"17","23","315"
"16","24","315"
"17","23","315"
"26","31","122"
"24","30","142"
"24","30","142"
"24","30","142"
"24","30","142"
"24","30","142"
"24","30","142"
"18","26","210"
"16","24","210"
"18","26","210"
"16","24","210"
"16","24","315"
"17","23","315"
"16","24","315"
"17","23","315"
"12","20","525"
"12","19","420"
"18","25","271"
"18","25","271"
"15","23","550"
"15","23","550"
"15","23","550"
"15","23","550"
"15","23","550"
"14","22","550"
"18","25","271"
"18","25","271"
"17","23","244"
"17","23","244"
"17","23","244"
"11","20","420"
"21","31","200"
"12","19","525"
"20","27","175"
"21","29","175"
"21","27","175"
"20","26","276"
"18","24","276"
"22","32","191"
"21","28","191"
"20","26","276"
"18","24","276"
"20","26","276"
"18","24","276"
"18","27","333"
"17","29","304"
"18","29","304"
"17","29","304"
"18","29","304"
"17","29","304"
"18","29","304"
"16","24","426"
"16","25","426"
"16","24","426"
"16","25","426"
"18","27","333"
"20","27","175"
"21","29","175"
"21","27","175"
"20","26","276"
"18","24","276"
"21","29","175"
"21","27","175"
"20","26","276"
"18","24","276"
"20","26","276"
"18","24","276"
"21","29","176"
"22","32","176"
"21","28","176"
"22","32","176"
"21","28","176"
"22","29","260"
"21","26","260"
"30","41","140"
"22","30","170"
"23","30","170"
"21","29","176"
"22","31","176"
"21","28","176"
"22","31","176"
"21","28","176"
"22","27","260"
"21","25","260"
"18","27","333"
"20","25","140"
"20","25","140"
"19","24","140"
"18","23","173"
"18","23","173"
"18","23","173"
"18","23","173"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"21","29","197"
"24","36","113"
"15","22","266"
"15","22","266"
"14","20","266"
"14","20","266"
"15","22","266"
"14","20","266"
"15","22","266"
"13","18","310"
"14","20","266"
"20","28","175"
"20","26","276"
"20","26","276"
"20","26","276"
"20","25","175"
"20","26","276"
"20","28","175"
"19","26","175"
"20","26","276"
"20","26","276"
"20","26","276"
"20","26","276"
"21","27","175"
"20","28","175"
"20","26","276"
"20","26","276"
"20","28","175"
"19","26","175"
"18","28","263"
"18","27","263"
"17","26","263"
"18","27","263"
"17","26","263"
"18","28","263"
"18","27","263"
"17","25","263"
"18","27","263"
"17","25","263"
"18","28","263"
"18","27","263"
"17","25","263"
"18","27","263"
"17","25","263"
"23","30","170"
"30","41","140"
"23","33","170"
"24","31","170"
"30","42","140"
"19","26","285"
"19","26","285"
"18","26","285"
"19","26","285"
"18","26","285"
"18","25","305"
"17","23","305"
"24","31","170"
"30","42","140"
"16","24","354"
"14","22","354"
"19","27","285"
"19","27","285"
"18","25","285"
"19","27","285"
"18","25","285"
"19","26","305"
"17","23","305"
"18","25","265"
"17","23","265"
"18","25","265"
"17","23","265"
"18","25","265"
"17","23","265"
"18","25","265"
"17","23","265"
"16","24","354"
"14","22","354"
"21","30","240"
"21","30","240"
"21","30","240"
"16","24","354"
"14","22","354"
"14","21","435"
"14","19","435"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"26","34","140"
"25","36","140"
"25","36","140"
"21","29","197"
"24","36","113"
"15","24","505"
"15","24","505"
"15","24","505"
"15","24","505"
"15","24","505"
"15","24","505"
"15","24","505"
"15","24","505"
"15","24","505"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"16","26","430"
"15","25","430"
"14","20","266"
"15","22","266"
"15","22","266"
"14","20","266"
"13","18","310"
"14","20","266"
"15","22","266"
"16","23","197"
"16","23","197"
"17","25","251"
"17","25","251"
"15","22","266"
"14","20","266"
"14","20","266"
"13","18","310"
"15","22","266"
"14","20","266"
"14","20","266"
"15","22","266"
"17","25","283"
"17","25","283"
"17","25","283"
"17","25","283"
"19","26","200"
"18","24","200"
"18","24","200"
"18","24","200"
"24","35","198"
"24","35","190"
"24","35","200"
"24","35","190"
"24","35","198"
"22","34","274"
"24","35","198"
"22","34","274"
"22","35","200"
"22","33","274"
"22","35","198"
"24","35","198"
"22","35","274"
"22","35","190"
"22","35","190"
